id|kabupaten|provinsi|prov|pop|npop|positif|positif_sembuh|positif_md|pdp_md|odp_md|md|odp|pdp|pr_positif|pr_positif_sembuh|pr_positif_md|pr_pdp_md|pr_md|positif_rs|pdp_proses|pr_npop|p_sembuh|p_md|rs|p_rs|tgl|crawled_at
1571|KOTA JAMBI|JAMBI|Jambi|611351.0|32|32|0|0|0.0|0.0|0|485|74|5.23|0.0|0.0|0.0|0.0|32|0.0|5.23|0.0|0.0|32|100.0|2020-07-17 12:48:00.000000|2020-07-17 13:36:51.546273
6110|MELAWI|KALIMANTAN BARAT|Kalbar|211192.0|32|32|0|0|0.0|0.0|0|0|4|15.15|0.0|0.0|0.0|0.0|32|0.0|15.15|0.0|0.0|32|100.0|2020-07-17 23:59:00.000000|2020-07-17 13:36:51.546273
1805|LAMPUNG TENGAH|LAMPUNG|Lampung|1290409.0|33|31|30|1|1.0|1.0|3|462|0|2.4|2.32|0.08|0.08|0.23|0|0.0|2.56|90.91|9.09|0|0.0|2020-07-17 12:47:00.000000|2020-07-17 13:36:51.546273
7414|BUTON TENGAH|SULAWESI TENGGARA|Sultra|94207.0|31|31|27|0|0.0|0.0|0|0|1|32.91|28.66|0.0|0.0|0.0|4|0.0|32.91|87.1|0.0|4|12.9|2020-07-15 17:00:00.000000|2020-07-17 13:36:51.546273
9402|JAYAWIJAYA|PAPUA|Papua|220112.0|31|31|25|0|0.0|0.0|0|6|0|14.08|11.36|0.0|0.0|0.0|6|0.0|14.08|80.65|0.0|6|19.35|2020-07-16 00:00:00.000000|2020-07-17 13:36:51.546273
3673|KOTA SERANG|BANTEN|Banten|699102.0|31|31|22|2|0.0|0.0|2|380|60|4.43|3.15|0.29|0.0|0.29|7|0.0|4.43|70.97|6.45|7|22.58|2020-07-16 15:00:00.000000|2020-07-17 13:36:51.546273
1208|ASAHAN|SUMATERA UTARA|Sumut|735026.0|31|31|7|5|0.0|0.0|5|1|0|4.22|0.95|0.68|0.0|0.68|19|0.0|4.22|22.58|16.13|19|61.29|2020-07-16 05:44:00.000000|2020-07-17 13:36:51.546273
1374|KOTA PADANG PANJANG|SUMATERA BARAT|Sumbar|54421.0|30|30|30|0|0.0|0.0|0|148|28|55.13|55.13|0.0|0.0|0.0|0|0.0|55.13|100.0|0.0|0|0.0|2020-07-16 15:49:00.000000|2020-07-17 13:36:51.546273
7315|PINRANG|SULAWESI SELATAN|Sulsel|379402.0|30|30|23|1|0.0|0.0|1|489|32|7.91|6.06|0.26|0.0|0.26|6|0.0|7.91|76.67|3.33|6|20.0|2020-07-17 12:53:00.000000|2020-07-17 13:36:51.546273
1218|SERDANG BEDAGAI|SUMATERA UTARA|Sumut|617772.0|38|30|14|1|6.0|2.0|9|1240|48|4.86|2.27|0.16|0.97|1.46|15|1.0|6.15|36.84|23.68|15|39.47|2020-07-17 12:49:00.000000|2020-07-17 13:36:51.546273
3274|KOTA CIREBON|JAWA BARAT|Jabar|322323.0|32|30|6|1|2.0|0.0|3|0|0|9.31|1.86|0.31|0.62|0.93|23|0.0|9.93|18.75|9.38|23|71.88|2020-07-17 08:34:00.000000|2020-07-17 13:36:51.546273
5206|BIMA|NUSA TENGGARA BARAT|NTB|493198.0|29|29|25|0|0.0|0.0|0|695|19|5.88|5.07|0.0|0.0|0.0|4|1.0|5.88|86.21|0.0|4|13.79|2020-07-16 22:50:00.000000|2020-07-17 13:36:51.546273
2172|KOTA TANJUNGPINANG|KEPULAUAN RIAU|Kepri|213592.0|38|29|24|3|9.0|0.0|12|238|112|13.58|11.24|1.4|4.21|5.62|2|2.0|17.79|63.16|31.58|2|5.26|2020-07-16 15:35:00.000000|2020-07-17 13:36:51.546273
6210|PULANG PISAU|KALIMANTAN TENGAH|Kalteng|127478.0|29|29|16|2|0.0|0.0|2|0|0|22.75|12.55|1.57|0.0|1.57|11|0.0|22.75|55.17|6.9|11|37.93|2020-07-16 09:41:00.000000|2020-07-17 13:36:51.546273
